bairro,esperanca_vida,taxa_alfabetizacao,frequencia_escolar,renda_capita,idh
"Galeão, Cidade Universitária","67,79","93,92","80,64","300,31","0,778"
Vicente de Carvalho,"67,51","93,79","78,52","296,63","0,773"
Jacarepaguá,"67,51","90,18","77,14","331,44","0,769"
Senador Camará,"67,39","93,63","83,67","251,09","0,768"
Gardênia Azul,"67,79","93,78","76,40","274,68","0,768"
Vigário Geral,"66,66","93,52","74,73","296,60","0,763"
Colégio,"67,33","94,52","74,33","262,37","0,762"
Sepetiba,"66,30","93,64","79,65","264,80","0,761"
Cosmos,"67,51","94,86","82,17","205,90","0,759"
Caju,"68,90","90,43","71,97","236,59","0,753"
Paciência,"66,66","94,36","81,02","203,43","0,751"
Cidade de Deus,"66,66","93,56","81,10","207,56","0,751"
Barros Filho,"66,66","93,60","82,15","198,96","0,750"
Inhoaíba,"65,99","93,63","81,38","207,61","0,747"
"Camorim, Vargem Pequena, Vargem Grande","66,30","90,80","69,28","279,09","0,746"
Parada de Lucas,"65,35","92,38","82,15","220,27","0,745"
"Guaratiba, Barra de Guaratiba, Pedra de Guaratiba","66,66","90,74","74,37","234,37","0,744"
Santa Cruz,"65,52","93,19","79,82","206,23","0,742"
Rocinha,"67,33","87,90","69,50","219,95","0,732"
Jacarezinho,"66,30","92,20","75,68","177,98","0,731"
Manguinhos,"66,30","91,48","69,64","188,86","0,726"
Maré,"66,58","89,46","68,76","187,25","0,722"
"Acari, Parque Colúmbia","63,93","91,68","79,44","174,12","0,720"
Costa Barros,"63,93","91,34","74,09","175,00","0,713"
Complexo do Alemão,"64,79","89,07","72,04","177,31","0,711"
